wdid,logg,mass
SDSS J105548.51+044206.9,7.63,0.42
SDSS J105853.59+005608.5,7.34,0.37
SDSS J110106.35+134622.7,7.82,0.54
SDSS J111002.56+100637.1,7.55,0.38
SDSS J111331.84+202013.0,7.51,0.39
SDSS J112613.95+405703.1,7.12,0.31
SDSS J113705.46+392336.6,7.53,0.38
SDSS J113833.13+351825.8,7.5,0.38
SDSS J113941.31+265944.1,7.39,0.33
SDSS J114651.16+602151.9,8.36,0.86
SDSS J115900.77+401825.3,7.41,0.39
SDSS J115904.91+112716.2,7.89,0.55
SDSS J120222.10+411810.8,8.55,0.97
SDSS J120953.67+185815.7,8.53,0.96
SDSS J121324.25+380405.2,8.42,0.88
SDSS J122752.72-015053.0,7.71,0.46
SDSS J122758.25+043123.4,8.03,0.63
SDSS J122852.14+365727.5,7.97,0.62
SDSS J122906.21+252232.2,7.87,0.57
SDSS J123022.53+390843.8,7.83,0.5
SDSS J123027.64+535323.5,7.85,0.54
SDSS J123154.03+354550.3,7.53,0.39
SDSS J123942.13+483038.0,7.54,0.38
SDSS J124254.62+450658.5,7.99,0.61
SDSS J124808.93+605726.4,7.77,0.505
SDSS J124920.58+341631.3,7.46,0.37
SDSS J125146.04+290906.3,7.995,0.615
SDSS J125207.48+444827.8,8.45,0.9
SDSS J125622.69+182631.4,7.84,0.53
SDSS J130012.49+190857.4,8.81,1.09
SDSS J132452.03+124825.4,7.84,0.54
SDSS J132824.76+222519.2,7.91,0.56
SDSS J134714.30+412909.6,9.1,1.25
SDSS J135055.18+394632.9,7.71,0.539
SDSS J140526.06+111423.5,7.39,0.33
SDSS J141451.60+193638.9,8.77,1.07
SDSS J142631.93+091621.1,9.38,1.4
SDSS J143137.37+203843.3,7.81,0.51
SDSS J143143.83+565728.2,8.64,1.0
SDSS J143633.66+615436.9,8.29,0.79
SDSS J144253.26+633216.4,8.14,0.69
SDSS J150840.52+154231.9,7.81,0.53
SDSS J150919.21+431343.9,7.62,0.46
SDSS J152044.47+402206.2,6.57,0.155
SDSS J152344.09+474709.8,7.12,0.3
SDSS J152640.25+502301.8,7.6,0.49
SDSS J152852.32+492054.7,8.26,0.77
SDSS J153648.31+010249.1,7.79,0.5
SDSS J154706.71+301301.1,7.72,0.49
SDSS J155833.63+300729.0,6.98,0.34
SDSS J160125.58+341402.3,7.94,0.59
SDSS J160956.72+161604.7,7.97,0.61
SDSS J161726.96+385557.5,8.64,1.02
SDSS J161821.44+184832.6,7.5,0.38
SDSS J161939.16+154243.7,8.293,0.793
SDSS J162800.64+290058.6,7.8,0.51
SDSS J163008.84+130238.8,7.5,0.38
SDSS J163358.49+383549.8,8.03,0.715
SDSS J163459.43+311235.6,7.93,0.6
SDSS J163831.66+292236.8,7.7,0.48
SDSS J164757.97+360147.6,9.5,1.46
SDSS J165516.51+195640.2,7.51,0.39
SDSS J165545.07+184849.3,8.0,0.62
SDSS J170618.17+230838.5,7.36,0.35
SDSS J170659.07+214211.6,7.61,0.42
SDSS J170843.52+215829.0,9.12,1.27
SDSS J171411.14+294508.2,8.46,0.91
